name,count,lon,lat,match_level
经北一路65号万锦家园北门门卫室,2,113.74480017864583,34.72585017240621,门址
3大街南三环梁湖地铁站b口,1,113.73669453771672,34.70364963385807,公交地铁站点
4大街经北二路到经北一路,1,113.74949605128356,34.724453039351644,道路
8大街长盛广场,1,113.78037505038594,34.4944191875542,道路
财富天阶1号楼3单元门口台阶处,1,113.76593268157004,34.7281336664958,兴趣点
岔河路和朝凤路桥上,1,113.7275172537366,34.72683151316386,道路交叉路口
岔河路机场高速涵洞东侧,1,113.71484295503366,34.416015984974514,住宅区
岔河路七里河桥上,1,113.71772736599812,34.71878314731563,住宅区
朝凤路18号郑州航海体育场,1,113.72539566466726,34.716838615152426,兴趣点
朝凤路滨河公园,1,113.7241486318022,34.71998148150706,兴趣点
朝凤路博才路,1,113.72971910747758,34.70789250343521,道路
朝凤路传媒路亚太明珠,1,113.72726915285085,34.72807445732891,兴趣点
朝凤路航海路,1,113.71170609988035,34.72120420608071,住宅区
朝凤路航海体育场,1,113.72570706590969,34.72188451673756,公交地铁站点
朝凤路航海体育场一个公园内,1,113.72570706590969,34.72188451673756,公交地铁站点
朝凤路经北五路交叉口向西100米路南靓车坊,1,113.72613491378497,34.72255357497092,小巷
朝凤路经北五路向东 200 米路南,1,113.73453099878449,34.73192503893536,道路
朝凤路马德里西街,1,113.72883493934006,34.72869090453158,道路
朝凤路美景芳华小区,1,113.73569700370385,34.70606663742408,住宅区
朝凤路盛和小区,1,113.73064474890165,34.71129375656798,住宅区
朝凤路与博才路交叉口,1,113.72774626483685,34.70759893347582,道路交叉路口
朝凤路远大理想城,1,113.73050883263546,34.72935933349606,住宅区
朝凤路远大理想城西门,1,113.73050883263546,34.72935933349606,住宅区
朝凤路郑州航海体育场,1,113.72539566466726,34.716838615152426,兴趣点
传媒路与经北六路交叉口,1,113.74838999682176,34.73469882999828,未知
华润凯旋门 16 号楼 2 单元负一层地库非机动车停放处,1,113.72432506793956,34.7342993886778,兴趣点
地铁 12 号线梁湖地铁口,1,113.737230177471,34.708646718729355,住宅区
第八大街 188 号长盛广场,1,113.78326952724876,34.49477766332135,门牌号
第八大街经北二路富士康西北口,1,113.86023883932626,34.57442223098286,兴趣点
第八大街经南二路国庆中学,1,113.76171525182642,34.717558895486015,兴趣点
第七大街航海东路路口路南,1,113.77872329789028,34.49601306065624,道路
第七大街新宇花园小区内,1,113.77872329789028,34.49601306065624,道路
第三大街经北一路,1,113.77904351675288,34.50051730020751,道路
第三大街梁湖社区 33 号楼,1,113.73555152414666,34.71025068549492,门址
第五大街经开万锦城商场楼下,1,113.74605734532237,34.72328971655001,兴趣点
第五大街经南六路交叉口西北角,1,113.74754831344207,34.734539869009744,小巷
第五大街乐尚生活广场,1,113.56147133904227,34.8942575102374,兴趣点
第一大街碧桂园天悦,1,113.72995921615245,34.706834383833794,住宅区
第一大街经北一路小碗牛肉汤,1,113.38524467463381,34.791345946425785,兴趣点
第一大街经南三路,1,113.77887504095591,34.50160733160741,道路
第二大街盛和小区四期 5 号楼,1,113.73300214447931,34.70926559323822,住宅区
福塔地铁口 B 口,1,113.72598000374546,34.721973243256464,公交地铁站点
福塔东地铁站 B 口,1,113.74075930885047,34.72107304566908,公交地铁站点
福塔东地铁站 C 口,1,113.74075930885047,34.72107304566908,公交地铁站点
福塔东地铁站 D 口,1,113.74075930885047,34.72107304566908,公交地铁站点
福塔东地铁站 F 口,1,113.74075930885047,34.72107304566908,公交地铁站点
福塔东站地铁站 A 口,1,113.71713239297712,34.72163796376991,公交地铁站点
福塔西侧,1,113.72598000374546,34.721973243256464,公交地铁站点
高途经南三路,1,113.94764906523784,34.486883272822276,道路
管城回族区朝凤路76号亚太花园,1,113.7272574179705,34.72558688973865,兴趣点
管城区经南三路经开,1,113.7753031410093,34.71616516280421,道路
航海东路第一大街,1,113.77887504095591,34.50160733160741,道路
郑州中原古商病医院旁边的公交车站牌,1,113.6069264328106,34.74947180611285,区县
航海东路福塔东地铁站c口,1,113.73986075777601,34.72227501601938,公交地铁站点
航海东路格林度假山庄对面,1,113.75255465492671,34.71855753241946,村庄
航海东路经开万锦城停电动车的地方,1,113.74605734532237,34.72328971655001,兴趣点
航海东路盛华里,1,113.74673988142891,34.723112942633925,住宅区
航海东路盛华里1号楼旁边,1,113.7464815620082,34.724256808521645,门址
航海东路盛华里门口,1,113.74673988142891,34.723112942633925,住宅区
航海东路盛华里停车场,1,113.74673988142891,34.723112942633925,住宅区
航海东路阳光城檀悦7号楼楼下,1,113.73226089830426,34.72023735659718,住宅区
航海东路第三大街交叉口 地铁5号线福塔东站c口处非机动车停放处,1,113.96767484627743,34.721319826027674,兴趣点
航海东路正商经开广场,2,113.76419273285771,34.720123125107186,兴趣点
航海路一大街交叉口,1,113.77294086843033,34.721918093013095,道路
航海路朝凤路滨河公园,1,113.7241486318022,34.71998148150706,兴趣点
航海路朝凤路地铁站A口,1,113.71713239297712,34.72163796376991,公交地铁站点
航海路第六大街,1,113.77294086843033,34.721918093013095,道路
航海路第三大街交叉口A口,1,113.78216243932961,34.50018743894489,未知
航海路第一大街,1,113.77294086843033,34.721918093013095,道路
航海路第一大街丹尼斯,1,113.77294086843033,34.721918093013095,道路
航海路经开中心广场,1,113.7600035425878,34.72016232503868,道路
航海路盛华里,4,113.74673988142891,34.723112942633925,住宅区
航海路五大街交叉口东美家园,1,113.74975752949544,34.7127214310022,住宅区
航海路亚太时代广场,1,113.72390131445219,34.723615143195715,道路
航海路亚泰时代广场楼下,1,113.65979891444326,34.79548327852987,兴趣点
航海路中原福塔地铁站B口,1,113.7152334692756,34.72231323933034,公交地铁站点
航海路中原福塔地铁站C口,1,113.7161558748265,34.72248911623386,公交地铁站点
航海路中原福塔东站A口,1,113.7224956728328,34.72433753736996,兴趣点
航海路中原福塔下面,1,113.7224956728328,34.72433753736996,兴趣点
航海体育场里面,1,113.72570706590969,34.72188451673756,公交地铁站点
航海体育场西边的公园,1,113.72570706590969,34.72188451673756,公交地铁站点
恒大绿洲四期便利店,1,113.75629851387133,34.712663637769985,住宅区
经北二路保税物流中心A区,1,113.76607815341092,34.72592993067226,住宅区
经北二路第九大街,1,113.76302073904655,34.72188358419908,道路
经北二路第七大街,1,113.73941607321724,34.726891604610586,道路
经北六路第五大街向东电缆厂,1,113.7478715688739,34.71572521844022,道路
经北六路第五大街向东路南院区里边,1,113.7478715688739,34.71572521844022,道路
经北三路第三大街商铺人行道上,1,113.72820101861173,34.728383578936715,道路
经北五路地铁站,1,113.74077120859343,34.73151986624304,公交地铁站点
经北五路地铁站C口,1,113.7161558748265,34.72248911623386,公交地铁站点
经北一路第五大街,1,113.7478715688739,34.71572521844022,道路
经开第二大街汉庭酒店,1,113.73720065255932,34.72295993242053,道路
经北一路一大街东北角,1,113.74949605128356,34.724453039351644,道路
明湖街道南三环,1,113.639255873358,34.699169001064774,道路
金茂越秀未来府小区,1,113.74742611483201,34.70712141506412,兴趣点
